silhouette,db,ch,method,params
0.46231242294116226,0.984464415734943,640.1514012819035,KMeans,{'n_clusters': 3}
0.6061569964871122,0.5942072625710118,1446.9825831359037,KMeans,{'n_clusters': 4}
0.4679754781730575,1.8791517984645796,1104.9328820733508,KMeans,{'n_clusters': 5}
0.3267729687322238,2.8467397825758796,898.4566111613514,KMeans,{'n_clusters': 6}
0.25738246681981075,1.2804956464612114,43.03434578096527,DBSCAN,{'eps': 2.5}
0.1990155822724456,1.6535042281327235,548.6586592917196,DBSCAN,{'eps': 3.0}
0.6061569964871122,0.5942072625710118,1446.9825831359035,DBSCAN,{'eps': 4.0}
0.6061569964871122,0.5942072625710118,1446.9825831359035,DBSCAN,{'eps': 5.0}
0.46231242294116226,0.984464415734943,640.1514012819035,Spectral,{'n_clusters': 3}
0.5912775486053774,0.6248563430690195,1314.0998384081008,Spectral,{'n_clusters': 4}
0.4631857190823024,1.1306844167111287,1089.7500978612436,Spectral,{'n_clusters': 5}
0.46231242294116226,0.984464415734943,640.1514012819035,Agglomerative,{'n_clusters': 3}
0.6061569964871122,0.5942072625710118,1446.9825831359037,Agglomerative,{'n_clusters': 4}
0.46749735574089407,1.9446292703753634,1099.1111011137505,Agglomerative,{'n_clusters': 5}
0.32488987494235677,3.0770185891392434,888.8736710440619,Agglomerative,{'n_clusters': 6}
